0,1.35494,0.495693,179,1
1,0.668193,0.281222,178,1
2,0.62956,0.28454,177,1
3,0.765725,0.278852,174,1
4,0.635375,0.281804,171,1
5,0.735048,0.286959,172,1
6,0.64314,0.284387,172,1
7,0.790211,0.633787,175,1
8,1.43554,0.72694,174,1
9,2.2053,0.736049,192,1
10,2.01263,0.462706,195,1
11,1.62609,0.747581,175,1
12,0.639734,0.244773,173,1
13,3.98581,1.42015,185,1
14,3.02886,0.418296,303,1
15,2.47381,0.503871,196,1
16,0.376761,0.245319,171,1
17,2.24206,0.432479,177,1
18,1.23198,0.251219,186,1
19,3.97545,1.75846,184,1
20,3.13041,0.183835,181,1
21,2.80078,0.298218,178,1
22,2.80708,0.247919,179,1
23,3.40788,0.171694,185,1
24,2.78524,0.251846,188,1
25,2.78444,0.25129,187,1
26,3.56741,0.182692,184,1
27,3.0705,0.237986,190,1
28,3.69875,0.155618,198,1
29,2.25615,0.694742,191,1
30,2.81016,0.268993,182,1
31,3.66034,0.183225,191,1
32,2.4497,0.535122,176,1
33,3.31681,2.76209,175,1
34,3.66396,0.36023,191,1
35,3.28287,0.496723,177,1
36,2.75538,0.180515,182,1
37,3.13923,0.132208,197,1
38,4.00575,0.198615,207,1
39,0.747814,0.296793,176,1
40,0.760501,0.225417,174,1
41,0.770077,0.137444,175,1
42,0.765671,0.129565,174,1
43,0.724797,0.214425,177,1
44,0.752605,0.0933712,175,1
45,0.833151,0.136325,176,1
46,1.19289,0.350108,183,1
47,1.40635,0.788636,180,1
48,0.830296,0.0964634,180,1
49,0.951505,0.335528,178,1
50,1.93669,0.588913,179,1
51,0.867454,0.164145,185,1
52,1.07297,0.17168,208,1
53,4.40875,1.29864,211,1
54,4.56319,1.67004,211,1
55,0.787904,0.394682,176,1
56,1.09568,0.444705,186,1
57,0.787111,0.412935,175,1
58,0.783002,0.528454,184,1
59,1.95084,0.320419,191,1
60,1.73488,1.10256,188,1
61,1.89109,0.330294,204,1
62,2.06671,0.339032,185,1
63,1.84085,0.672095,191,1
64,2.10145,0.0523235,209,1
65,1.90387,0.435436,194,1
66,1.73921,0.620967,196,1
67,1.87646,0.470725,194,1
68,2.06429,0.27698,218,1
69,0.871408,0.68113,184,1
70,1.92798,0.790146,220,1
71,1.74887,1.36312,214,1
72,5.02596,2.05576,173,1
73,1.93768,0.720657,231,1
74,2.95585,2.51182,311,1
75,2.98758,2.65059,317,1
76,3.7875,2.40586,243,1
77,1.32863,0.882504,167,1
78,2.05021,0.453157,165,1
79,1.84684,0.455217,162,1
80,2.11997,0.385185,168,1
81,2.0848,0.441725,166,1
82,1.8987,0.507878,165,1
83,2.69672,0.572732,171,1
84,2.27607,0.55297,168,1
85,5.17787,0.955099,266,1
86,3.69815,1.00837,179,1
87,0.691953,1.20091,163,1
88,2.4036,0.501817,180,1
89,3.19435,0.652322,199,1
90,3.72152,0.735786,246,1
91,5.01005,1.80544,299,1
92,6.47281,1.38596,328,1
93,1.66743,0.510144,167,1
94,3.64129,1.61834,242,1
95,2.54654,0.583094,180,1
96,2.65139,0.103985,185,1
97,2.99696,0.293576,211,1
98,2.67889,0.212218,194,1
99,2.70741,0.0996558,201,1
100,2.90153,0.253183,191,1
101,2.76757,0.19009,187,1
102,2.83921,0.198111,196,1
103,1.78535,0.735647,197,1
104,2.68752,0.700081,180,1
105,2.8519,0.782855,225,1
106,2.64305,0.64299,185,1
107,2.73407,0.224003,187,1
108,2.75516,0.188838,196,1
109,2.82724,0.08111,186,1
110,3.03354,0.695588,257,1
111,4.30119,1.63409,201,1
112,3.68121,0.488669,188,1
113,2.69572,0.198827,180,1
